Total_Loans_to_Total_Deposits
88.39
86.62
87.81
87.89
87.65
85.91
82.75
83.1
82.02
80.9
82.45
81.79
82.05
83.34
86.36
83.61
83.43
83.77
83.17
83.36
81.78
77.06
76.14
71.31
69.95
69.25
68.59
70.12
69.82
72
73.51
74.37
77.22
75.46
75.39
76.47
75.31
77.43
72.41
